text,category
UPI/swiggy/12345,Food
UPI/swiggy/12345,Food
IMPS/swiggy/98765,Food
IMPS/swiggy/98765,Food
swiggy LIMITED,Food
swiggy LIMITED,Food
swiggy PAYMENT,Food
swiggy PAYMENT,Food
UPI PAYMENT swiggy,Food
UPI PAYMENT swiggy,Food
swiggy INDIA,Food
swiggy INDIA,Food
TRANSFER swiggy,Food
TRANSFER swiggy,Food
swiggy,Food
swiggy,Food
UPI/zomato/12345,Food
UPI/zomto/12345,Food
IMPS/zomato/98765,Food
IMPS/zomto/98765,Food
zomato LIMITED,Food
zomto LIMITED,Food
zomato PAYMENT,Food
zomto PAYMENT,Food
UPI PAYMENT zomato,Food
UPI PAYMENT zomto,Food
zomato INDIA,Food
zomto INDIA,Food
TRANSFER zomato,Food
TRANSFER zomto,Food
zomato,Food
zomto,Food
UPI/dominos/12345,Food
UPI/dominos/12345,Food
IMPS/dominos/98765,Food
IMPS/dominos/98765,Food
dominos LIMITED,Food
dominos LIMITED,Food
dominos PAYMENT,Food
dominos PAYMENT,Food
UPI PAYMENT dominos,Food
UPI PAYMENT dominos,Food
dominos INDIA,Food
dominos INDIA,Food
TRANSFER dominos,Food
TRANSFER dominos,Food
dominos,Food
dominos,Food
UPI/pizza hut/12345,Food
UPI/pizzhut/12345,Food
IMPS/pizza hut/98765,Food
IMPS/pizzhut/98765,Food
pizza hut LIMITED,Food
pizzhut LIMITED,Food
pizza hut PAYMENT,Food
pizzhut PAYMENT,Food
UPI PAYMENT pizza hut,Food
UPI PAYMENT pizzhut,Food
pizza hut INDIA,Food
pizzhut INDIA,Food
TRANSFER pizza hut,Food
TRANSFER pizzhut,Food
pizza hut,Food
pizzhut,Food
UPI/kfc/12345,Food
UPI/kfc/12345,Food
IMPS/kfc/98765,Food
IMPS/kfc/98765,Food
kfc LIMITED,Food
kfc LIMITED,Food
kfc PAYMENT,Food
kfc PAYMENT,Food
UPI PAYMENT kfc,Food
UPI PAYMENT kfc,Food
kfc INDIA,Food
kfc INDIA,Food
TRANSFER kfc,Food
TRANSFER kfc,Food
kfc,Food
kfc,Food
UPI/burger king/12345,Food
UPI/burgerking/12345,Food
IMPS/burger king/98765,Food
IMPS/burgerking/98765,Food
burger king LIMITED,Food
burgerking LIMITED,Food
burger king PAYMENT,Food
burgerking PAYMENT,Food
UPI PAYMENT burger king,Food
UPI PAYMENT burgerking,Food
burger king INDIA,Food
burgerking INDIA,Food
TRANSFER burger king,Food
TRANSFER burgerking,Food
burger king,Food
burgerking,Food
UPI/blinkit/12345,Food
UPI/blinkit/12345,Food
IMPS/blinkit/98765,Food
IMPS/blinkit/98765,Food
blinkit LIMITED,Food
blinkit LIMITED,Food
blinkit PAYMENT,Food
blinkit PAYMENT,Food
UPI PAYMENT blinkit,Food
UPI PAYMENT blinkit,Food
blinkit INDIA,Food
blinkit INDIA,Food
TRANSFER blinkit,Food
TRANSFER blinkit,Food
blinkit,Food
blinkit,Food
UPI/zepto/12345,Food
UPI/zepto/12345,Food
IMPS/zepto/98765,Food
IMPS/zepto/98765,Food
zepto LIMITED,Food
zepto LIMITED,Food
zepto PAYMENT,Food
zepto PAYMENT,Food
UPI PAYMENT zepto,Food
UPI PAYMENT zepto,Food
zepto INDIA,Food
zepto INDIA,Food
TRANSFER zepto,Food
TRANSFER zepto,Food
zepto,Food
zepto,Food
UPI/instamart/12345,Food
UPI/instmart/12345,Food
IMPS/instamart/98765,Food
IMPS/instmart/98765,Food
instamart LIMITED,Food
instmart LIMITED,Food
instamart PAYMENT,Food
instmart PAYMENT,Food
UPI PAYMENT instamart,Food
UPI PAYMENT instmart,Food
instamart INDIA,Food
instmart INDIA,Food
TRANSFER instamart,Food
TRANSFER instmart,Food
instamart,Food
instmart,Food
