Date,transaction_statement,Credit,Debit,Balance,user_id,table_id,sl_no
2025-12-28,Insurance Premium,0.0,11658.54,790152.04,2,51,1
2025-03-15,Restaurant Bill,5193.96,0.0,183254.9,2,51,2
2025-01-10,Insurance Premium,3948.55,0.0,767327.14,2,51,3
2025-06-05,Fuel Payment,0.0,7028.32,500208.75,2,51,4
2025-04-15,Restaurant Bill,16862.65,0.0,350809.92,2,51,5
2025-01-30,Insurance Premium,0.0,6725.97,768122.73,2,51,6
2025-01-13,IMPS Payment,6979.24,0.0,758348.55,2,51,7
2025-05-05,Insurance Premium,23181.21,0.0,436931.5,2,51,8
2025-03-10,IMPS Payment,0.0,2937.11,206454.96,2,51,9
2025-03-27,Fuel Payment,9716.76,0.0,988379.85,2,51,10
2025-01-10,Cash Deposit,0.0,2416.64,105816.36,2,51,11
2025-07-14,Mobile Recharge,0.0,13801.17,566551.08,2,51,12
2025-02-11,Cash Deposit,13735.28,0.0,853173.59,2,51,13
2025-03-26,Grocery Purchase,0.0,2406.47,206424.73,2,51,14
2025-01-07,Grocery Purchase,0.0,12474.04,789975.67,2,51,15
2025-01-24,Salary Credit,10021.82,0.0,737261.96,2,51,16
2025-07-08,Unexpected Large Credit,353711.7,0.0,2028843.14,2,51,17
2025-01-31,UPI Transfer,0.0,13281.78,128119.88,2,51,18
2025-11-13,Grocery Purchase,0.0,12326.19,863618.73,2,51,19
2025-02-13,Salary Credit,3729.18,0.0,860095.97,2,51,20
2025-11-18,Unexpected Large Credit,405670.18,0.0,82685.97,2,51,21
2025-02-04,Unexpected Large Credit,609545.64,0.0,692231.61,2,51,22
2025-10-08,Fuel Payment,0.0,6643.39,804694.37,2,51,23
2025-12-23,Loan EMI,0.0,8664.7,796126.42,2,51,24
2025-03-18,Travel Booking,11356.7,0.0,185429.72,2,51,25
2025-04-07,Mobile Recharge,5902.7,0.0,1007747.79,2,51,26
2025-07-16,Unexpected Large Credit,706230.59,0.0,2625665.75,2,51,27
2025-07-31,Electricity Bill,19555.9,0.0,732147.19,2,51,28
2025-04-12,Salary Credit,22042.12,0.0,345611.7,2,51,29
2025-12-01,Travel Booking,21368.25,0.0,851035.14,2,51,30
2025-04-21,Travel Booking,0.0,1413.14,1081270.12,2,51,31
2025-12-03,ATM Withdrawal,0.0,13098.51,823619.95,2,51,32
2025-03-17,Fuel Payment,4290.89,0.0,931325.98,2,51,33
2025-06-23,Restaurant Bill,0.0,12475.48,624756.03,2,51,34
2025-01-03,Medical Expense,17079.14,0.0,74160.56,2,51,35
2025-11-30,Online Shopping,0.0,9386.57,829666.89,2,51,36
2025-02-14,ATM Withdrawal,14926.9,0.0,875022.87,2,51,37
2025-03-12,ATM Withdrawal,0.0,12971.17,188104.76,2,51,38
2025-07-29,Cash Deposit,0.0,10522.03,715191.35,2,51,39
2025-03-05,ATM Withdrawal,2151.31,0.0,206114.13,2,51,40
2025-01-20,IMPS Payment,0.0,9773.67,734315.86,2,51,41
2025-04-04,Mobile Recharge,10771.01,0.0,328158.23,2,51,42
2025-12-02,Unusual Midnight Transaction,0.0,306287.68,-846024.05,2,51,43
