Date,transaction_statement,Credit,Debit,Balance,user_id,table_id,sl_no,predicted_category,prediction_source,confidence,Credit_Amt,Debit_Amt,Amount,is_anomaly,anomaly_reason,anomaly_method
2025-12-28,Insurance Premium,0.0,11658.54,790152.04,2,50,1,Subscription,ML Model,0.46,0.0,11658.54,11658.54,False,,Machine Learning (Isolation Forest)
2025-03-15,Restaurant Bill,5193.96,0.0,183254.9,2,50,2,Other,ML (Low Confidence),0.21,5193.96,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-01-10,Insurance Premium,3948.55,0.0,767327.14,2,50,3,Subscription,ML Model,0.46,3948.55,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-06-05,Fuel Payment,0.0,7028.32,500208.75,2,50,4,Other,ML (Low Confidence),0.21,0.0,7028.32,7028.32,False,,Machine Learning (Isolation Forest)
2025-04-15,Restaurant Bill,16862.65,0.0,350809.92,2,50,5,Other,ML (Low Confidence),0.21,16862.65,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-01-30,Insurance Premium,0.0,6725.97,768122.73,2,50,6,Subscription,ML Model,0.46,0.0,6725.97,6725.97,False,,Machine Learning (Isolation Forest)
2025-01-13,IMPS Payment,6979.24,0.0,758348.55,2,50,7,Other,Payment Type Rule,0.95,6979.24,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-05-05,Insurance Premium,23181.21,0.0,436931.5,2,50,8,Subscription,ML Model,0.46,23181.21,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-03-10,IMPS Payment,0.0,2937.11,206454.96,2,50,9,Other,Payment Type Rule,0.95,0.0,2937.11,2937.11,False,,Machine Learning (Isolation Forest)
2025-03-27,Fuel Payment,9716.76,0.0,988379.85,2,50,10,Other,ML (Low Confidence),0.21,9716.76,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-01-10,Cash Deposit,0.0,2416.64,105816.36,2,50,11,Income,Payment Type Rule,0.95,0.0,2416.64,2416.64,False,,Machine Learning (Isolation Forest)
2025-07-14,Mobile Recharge,0.0,13801.17,566551.08,2,50,12,Other,Payment Type Rule,0.95,0.0,13801.17,13801.17,False,,Machine Learning (Isolation Forest)
2025-02-11,Cash Deposit,13735.28,0.0,853173.59,2,50,13,Income,Payment Type Rule,0.95,13735.28,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-03-26,Grocery Purchase,0.0,2406.47,206424.73,2,50,14,Shopping,Payment Type Rule,0.95,0.0,2406.47,2406.47,False,,Machine Learning (Isolation Forest)
2025-01-07,Grocery Purchase,0.0,12474.04,789975.67,2,50,15,Shopping,Payment Type Rule,0.95,0.0,12474.04,12474.04,False,,Machine Learning (Isolation Forest)
2025-01-24,Salary Credit,10021.82,0.0,737261.96,2,50,16,Income,Dictionary Rule,1.0,10021.82,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-07-08,Unexpected Large Credit,353711.7,0.0,2028843.14,2,50,17,Income,Payment Type Rule,0.95,353711.7,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-01-31,UPI Transfer,0.0,13281.78,128119.88,2,50,18,Other,Payment Type Rule,0.95,0.0,13281.78,13281.78,False,,Machine Learning (Isolation Forest)
2025-11-13,Grocery Purchase,0.0,12326.19,863618.73,2,50,19,Shopping,Payment Type Rule,0.95,0.0,12326.19,12326.19,False,,Machine Learning (Isolation Forest)
2025-02-13,Salary Credit,3729.18,0.0,860095.97,2,50,20,Income,Dictionary Rule,1.0,3729.18,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-11-18,Unexpected Large Credit,405670.18,0.0,82685.97,2,50,21,Income,Payment Type Rule,0.95,405670.18,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-02-04,Unexpected Large Credit,609545.64,0.0,692231.61,2,50,22,Income,Payment Type Rule,0.95,609545.64,0.0,0.0,False,,Machine Learning (Isolation Forest)
2025-10-08,Fuel Payment,0.0,6643.39,804694.37,2,50,23,Other,ML (Low Confidence),0.21,0.0,6643.39,6643.39,False,,Machine Learning (Isolation Forest)
