text,category,clean_text
UPI/swiggy/12345,Food,swiggy
UPI/swiggy/12345,Food,swiggy
IMPS/swiggy/98765,Food,swiggy
IMPS/swiggy/98765,Food,swiggy
swiggy LIMITED,Food,swiggy
swiggy LIMITED,Food,swiggy
swiggy PAYMENT,Food,swiggy
swiggy PAYMENT,Food,swiggy
UPI PAYMENT swiggy,Food,swiggy
UPI PAYMENT swiggy,Food,swiggy
swiggy INDIA,Food,swiggy
swiggy INDIA,Food,swiggy
TRANSFER swiggy,Food,swiggy
TRANSFER swiggy,Food,swiggy
swiggy,Food,swiggy
swiggy,Food,swiggy
UPI/zomato/12345,Food,zomato
UPI/zomto/12345,Food,zomto
IMPS/zomato/98765,Food,zomato
IMPS/zomto/98765,Food,zomto
zomato LIMITED,Food,zomato
zomto LIMITED,Food,zomto
zomato PAYMENT,Food,zomato
zomto PAYMENT,Food,zomto
UPI PAYMENT zomato,Food,zomato
UPI PAYMENT zomto,Food,zomto
zomato INDIA,Food,zomato
zomto INDIA,Food,zomto
TRANSFER zomato,Food,zomato
TRANSFER zomto,Food,zomto
zomato,Food,zomato
zomto,Food,zomto
UPI/dominos/12345,Food,dominos
UPI/dominos/12345,Food,dominos
IMPS/dominos/98765,Food,dominos
IMPS/dominos/98765,Food,dominos
dominos LIMITED,Food,dominos
dominos LIMITED,Food,dominos
dominos PAYMENT,Food,dominos
dominos PAYMENT,Food,dominos
UPI PAYMENT dominos,Food,dominos
UPI PAYMENT dominos,Food,dominos
dominos INDIA,Food,dominos
dominos INDIA,Food,dominos
TRANSFER dominos,Food,dominos
TRANSFER dominos,Food,dominos
dominos,Food,dominos
dominos,Food,dominos
UPI/pizza hut/12345,Food,pizza hut
UPI/pizzhut/12345,Food,pizzhut
IMPS/pizza hut/98765,Food,pizza hut
IMPS/pizzhut/98765,Food,pizzhut
pizza hut LIMITED,Food,pizza hut
pizzhut LIMITED,Food,pizzhut
pizza hut PAYMENT,Food,pizza hut
pizzhut PAYMENT,Food,pizzhut
UPI PAYMENT pizza hut,Food,pizza hut
UPI PAYMENT pizzhut,Food,pizzhut
pizza hut INDIA,Food,pizza hut
pizzhut INDIA,Food,pizzhut
TRANSFER pizza hut,Food,pizza hut
TRANSFER pizzhut,Food,pizzhut
pizza hut,Food,pizza hut
pizzhut,Food,pizzhut
UPI/kfc/12345,Food,kfc
UPI/kfc/12345,Food,kfc
IMPS/kfc/98765,Food,kfc
IMPS/kfc/98765,Food,kfc
kfc LIMITED,Food,kfc
kfc LIMITED,Food,kfc
kfc PAYMENT,Food,kfc
kfc PAYMENT,Food,kfc
UPI PAYMENT kfc,Food,kfc
UPI PAYMENT kfc,Food,kfc
kfc INDIA,Food,kfc
kfc INDIA,Food,kfc
TRANSFER kfc,Food,kfc
TRANSFER kfc,Food,kfc
kfc,Food,kfc
kfc,Food,kfc
UPI/burger king/12345,Food,burger king
UPI/burgerking/12345,Food,burgerking
IMPS/burger king/98765,Food,burger king
IMPS/burgerking/98765,Food,burgerking
burger king LIMITED,Food,burger king
burgerking LIMITED,Food,burgerking
burger king PAYMENT,Food,burger king
burgerking PAYMENT,Food,burgerking
UPI PAYMENT burger king,Food,burger king
UPI PAYMENT burgerking,Food,burgerking
burger king INDIA,Food,burger king
burgerking INDIA,Food,burgerking
TRANSFER burger king,Food,burger king
TRANSFER burgerking,Food,burgerking
burger king,Food,burger king
burgerking,Food,burgerking
UPI/blinkit/12345,Food,blinkit
UPI/blinkit/12345,Food,blinkit
IMPS/blinkit/98765,Food,blinkit
IMPS/blinkit/98765,Food,blinkit
blinkit LIMITED,Food,blinkit
blinkit LIMITED,Food,blinkit
blinkit PAYMENT,Food,blinkit
blinkit PAYMENT,Food,blinkit
UPI PAYMENT blinkit,Food,blinkit
UPI PAYMENT blinkit,Food,blinkit
blinkit INDIA,Food,blinkit
blinkit INDIA,Food,blinkit
TRANSFER blinkit,Food,blinkit
TRANSFER blinkit,Food,blinkit
blinkit,Food,blinkit
blinkit,Food,blinkit
UPI/zepto/12345,Food,zepto
UPI/zepto/12345,Food,zepto
IMPS/zepto/98765,Food,zepto
IMPS/zepto/98765,Food,zepto
zepto LIMITED,Food,zepto
zepto LIMITED,Food,zepto
zepto PAYMENT,Food,zepto
zepto PAYMENT,Food,zepto
UPI PAYMENT zepto,Food,zepto
UPI PAYMENT zepto,Food,zepto
zepto INDIA,Food,zepto
zepto INDIA,Food,zepto
TRANSFER zepto,Food,zepto
TRANSFER zepto,Food,zepto
zepto,Food,zepto
zepto,Food,zepto
UPI/instamart/12345,Food,instamart
UPI/instmart/12345,Food,instmart
IMPS/instamart/98765,Food,instamart
IMPS/instmart/98765,Food,instmart
instamart LIMITED,Food,instamart
instmart LIMITED,Food,instmart
instamart PAYMENT,Food,instamart
instmart PAYMENT,Food,instmart
UPI PAYMENT instamart,Food,instamart
UPI PAYMENT instmart,Food,instmart
instamart INDIA,Food,instamart
instmart INDIA,Food,instmart
TRANSFER instamart,Food,instamart
TRANSFER instmart,Food,instmart
instamart,Food,instamart
instmart,Food,instmart
UPI/mcdonalds/12345,Food,mcdonalds
UPI/mcdonlds/12345,Food,mcdonlds
IMPS/mcdonalds/98765,Food,mcdonalds
IMPS/mcdonlds/98765,Food,mcdonlds
mcdonalds LIMITED,Food,mcdonalds
mcdonlds LIMITED,Food,mcdonlds
mcdonalds PAYMENT,Food,mcdonalds
mcdonlds PAYMENT,Food,mcdonlds
UPI PAYMENT mcdonalds,Food,mcdonalds
UPI PAYMENT mcdonlds,Food,mcdonlds
mcdonalds INDIA,Food,mcdonalds
mcdonlds INDIA,Food,mcdonlds
TRANSFER mcdonalds,Food,mcdonalds
TRANSFER mcdonlds,Food,mcdonlds
mcdonalds,Food,mcdonalds
mcdonlds,Food,mcdonlds
UPI/starbucks/12345,Food,starbucks
UPI/strbucks/12345,Food,strbucks
IMPS/starbucks/98765,Food,starbucks
IMPS/strbucks/98765,Food,strbucks
starbucks LIMITED,Food,starbucks
strbucks LIMITED,Food,strbucks
starbucks PAYMENT,Food,starbucks
strbucks PAYMENT,Food,strbucks
UPI PAYMENT starbucks,Food,starbucks
UPI PAYMENT strbucks,Food,strbucks
starbucks INDIA,Food,starbucks
strbucks INDIA,Food,strbucks
TRANSFER starbucks,Food,starbucks
TRANSFER strbucks,Food,strbucks
starbucks,Food,starbucks
strbucks,Food,strbucks
UPI/chaayos/12345,Food,chaayos
UPI/chayos/12345,Food,chayos
IMPS/chaayos/98765,Food,chaayos
IMPS/chayos/98765,Food,chayos
chaayos LIMITED,Food,chaayos
chayos LIMITED,Food,chayos
chaayos PAYMENT,Food,chaayos
chayos PAYMENT,Food,chayos
UPI PAYMENT chaayos,Food,chaayos
UPI PAYMENT chayos,Food,chayos
chaayos INDIA,Food,chaayos
chayos INDIA,Food,chayos
TRANSFER chaayos,Food,chaayos
TRANSFER chayos,Food,chayos
chaayos,Food,chaayos
chayos,Food,chayos
UPI/haldirams/12345,Food,haldirams
UPI/hldirams/12345,Food,hldirams
IMPS/haldirams/98765,Food,haldirams
IMPS/hldirams/98765,Food,hldirams
haldirams LIMITED,Food,haldirams
hldirams LIMITED,Food,hldirams
haldirams PAYMENT,Food,haldirams
hldirams PAYMENT,Food,hldirams
UPI PAYMENT haldirams,Food,haldirams
UPI PAYMENT hldirams,Food,hldirams
haldirams INDIA,Food,haldirams
hldirams INDIA,Food,hldirams
TRANSFER haldirams,Food,haldirams
TRANSFER hldirams,Food,hldirams
haldirams,Food,haldirams
hldirams,Food,hldirams
UPI/bigbasket/12345,Food,bigbasket
UPI/bigbsket/12345,Food,bigbsket
IMPS/bigbasket/98765,Food,bigbasket
IMPS/bigbsket/98765,Food,bigbsket
bigbasket LIMITED,Food,bigbasket
bigbsket LIMITED,Food,bigbsket
bigbasket PAYMENT,Food,bigbasket
bigbsket PAYMENT,Food,bigbsket
UPI PAYMENT bigbasket,Food,bigbasket
UPI PAYMENT bigbsket,Food,bigbsket
bigbasket INDIA,Food,bigbasket
bigbsket INDIA,Food,bigbsket
TRANSFER bigbasket,Food,bigbasket
TRANSFER bigbsket,Food,bigbsket
bigbasket,Food,bigbasket
bigbsket,Food,bigbsket
UPI/eatclub/12345,Food,eatclub
UPI/etclub/12345,Food,etclub
IMPS/eatclub/98765,Food,eatclub
IMPS/etclub/98765,Food,etclub
eatclub LIMITED,Food,eatclub
etclub LIMITED,Food,etclub
eatclub PAYMENT,Food,eatclub
etclub PAYMENT,Food,etclub
UPI PAYMENT eatclub,Food,eatclub
UPI PAYMENT etclub,Food,etclub
eatclub INDIA,Food,eatclub
etclub INDIA,Food,etclub
TRANSFER eatclub,Food,eatclub
TRANSFER etclub,Food,etclub
eatclub,Food,eatclub
etclub,Food,etclub
UPI/uber/12345,Travel,uber
UPI/uber/12345,Travel,uber
IMPS/uber/98765,Travel,uber
IMPS/uber/98765,Travel,uber
uber LIMITED,Travel,uber
uber LIMITED,Travel,uber
uber PAYMENT,Travel,uber
uber PAYMENT,Travel,uber
UPI PAYMENT uber,Travel,uber
UPI PAYMENT uber,Travel,uber
uber INDIA,Travel,uber
uber INDIA,Travel,uber
TRANSFER uber,Travel,uber
TRANSFER uber,Travel,uber
uber,Travel,uber
uber,Travel,uber
UPI/ola/12345,Travel,ola
UPI/ol/12345,Travel,ol
IMPS/ola/98765,Travel,ola
IMPS/ol/98765,Travel,ol
ola LIMITED,Travel,ola
ol LIMITED,Travel,ol
ola PAYMENT,Travel,ola
ol PAYMENT,Travel,ol
UPI PAYMENT ola,Travel,ola
UPI PAYMENT ol,Travel,ol
ola INDIA,Travel,ola
ol INDIA,Travel,ol
TRANSFER ola,Travel,ola
TRANSFER ol,Travel,ol
ola,Travel,ola
ol,Travel,ol
UPI/irctc/12345,Travel,irctc
UPI/irctc/12345,Travel,irctc
IMPS/irctc/98765,Travel,irctc
IMPS/irctc/98765,Travel,irctc
irctc LIMITED,Travel,irctc
irctc LIMITED,Travel,irctc
irctc PAYMENT,Travel,irctc
irctc PAYMENT,Travel,irctc
UPI PAYMENT irctc,Travel,irctc
UPI PAYMENT irctc,Travel,irctc
irctc INDIA,Travel,irctc
irctc INDIA,Travel,irctc
TRANSFER irctc,Travel,irctc
TRANSFER irctc,Travel,irctc
irctc,Travel,irctc
irctc,Travel,irctc
UPI/indrive/12345,Travel,indrive
UPI/indrive/12345,Travel,indrive
IMPS/indrive/98765,Travel,indrive
IMPS/indrive/98765,Travel,indrive
indrive LIMITED,Travel,indrive
indrive LIMITED,Travel,indrive
indrive PAYMENT,Travel,indrive
indrive PAYMENT,Travel,indrive
UPI PAYMENT indrive,Travel,indrive
UPI PAYMENT indrive,Travel,indrive
indrive INDIA,Travel,indrive
indrive INDIA,Travel,indrive
TRANSFER indrive,Travel,indrive
TRANSFER indrive,Travel,indrive
indrive,Travel,indrive
indrive,Travel,indrive
UPI/yatrisathi/12345,Travel,yatrisathi
UPI/ytrisathi/12345,Travel,ytrisathi
IMPS/yatrisathi/98765,Travel,yatrisathi
IMPS/ytrisathi/98765,Travel,ytrisathi
yatrisathi LIMITED,Travel,yatrisathi
ytrisathi LIMITED,Travel,ytrisathi
yatrisathi PAYMENT,Travel,yatrisathi
ytrisathi PAYMENT,Travel,ytrisathi
UPI PAYMENT yatrisathi,Travel,yatrisathi
UPI PAYMENT ytrisathi,Travel,ytrisathi
yatrisathi INDIA,Travel,yatrisathi
ytrisathi INDIA,Travel,ytrisathi
TRANSFER yatrisathi,Travel,yatrisathi
TRANSFER ytrisathi,Travel,ytrisathi
yatrisathi,Travel,yatrisathi
ytrisathi,Travel,ytrisathi
UPI/rapido/12345,Travel,rapido
UPI/rpido/12345,Travel,rpido
IMPS/rapido/98765,Travel,rapido
IMPS/rpido/98765,Travel,rpido
rapido LIMITED,Travel,rapido
rpido LIMITED,Travel,rpido
rapido PAYMENT,Travel,rapido
rpido PAYMENT,Travel,rpido
UPI PAYMENT rapido,Travel,rapido
UPI PAYMENT rpido,Travel,rpido
rapido INDIA,Travel,rapido
rpido INDIA,Travel,rpido
TRANSFER rapido,Travel,rapido
TRANSFER rpido,Travel,rpido
rapido,Travel,rapido
rpido,Travel,rpido
UPI/airindia/12345,Travel,airindia
UPI/irindia/12345,Travel,irindia
IMPS/airindia/98765,Travel,airindia
IMPS/irindia/98765,Travel,irindia
airindia LIMITED,Travel,airindia
irindia LIMITED,Travel,irindia
airindia PAYMENT,Travel,airindia
irindia PAYMENT,Travel,irindia
UPI PAYMENT airindia,Travel,airindia
UPI PAYMENT irindia,Travel,irindia
airindia INDIA,Travel,airindia
irindia INDIA,Travel,irindia
TRANSFER airindia,Travel,airindia
TRANSFER irindia,Travel,irindia
airindia,Travel,airindia
irindia,Travel,irindia
UPI/makemytrip/12345,Travel,makemytrip
UPI/mkemytrip/12345,Travel,mkemytrip
IMPS/makemytrip/98765,Travel,makemytrip
IMPS/mkemytrip/98765,Travel,mkemytrip
